Track Name,Artist Names,Album Name,Track ID
Needle (feat. Drake),"Nicki Minaj, Drake",Pink Friday 2,4I4G0LD277PWvfblYtSf91
Lovin On Me,Jack Harlow,Lovin On Me,4xhsWYTOGcal8zt0J161CU
First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,7aqfrAY2p9BUSiupwk3svU
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),1udwFobQ1JoOdWPQrp2b6u
Loop Hole (feat. 21 Savage),"Tee Grizzley, 21 Savage",Tee's Coney Island,5gzEL5O1ubbtIHUhLkSMTz
Soak City (Do it),310babii,Lottery Pick,6iiCzEd1ULpq7nXbZVQ4pi
Barbie Dangerous,Nicki Minaj,Pink Friday 2,1fKT7RUtOf4xNEqctEFe5L
Shotta Flow 7,NLE Choppa,Shotta Flow 7,1WrxYBGmFK19BMRn3wLYMa
IDGAF (feat. Yeat),"Drake, Yeat",For All The Dogs,2YSzYUF3jWqb9YP9VXmpjE
Gimme Da Lite,"Southside, Lil Yachty",Gimme Da Lite,5VE6OSfJkMHyMpHaJzuUqn
SAY MY GRACE (feat. Travis Scott),"Offset, Travis Scott",SET IT OFF,2Gk6fi0dqt91NKvlzGsmm7
500lbs,Lil Tecca,500lbs,1xWkeSPhf3bZqHY7Ncz8vp
You Broke My Heart,Drake,For All The Dogs Scary Hours Edition,5Se32hEA9raeboZerywxka
I KNOW ?,Travis Scott,UTOPIA,6wsqVwoiVH2kde4k4KKAFU
Stop Giving Me Advice (with Jack Harlow & Dave),"Lyrical Lemonade, Jack Harlow, Dave",Stop Giving Me Advice,6j3wDNKqEeZ6QwPtCcpJX8
Mmhmm,BigXthaPlug,Mmhmm,1nQaTUDJ7Rc4yOvZmg9Ozr
Big Difference,Nicki Minaj,Pink Friday 2,0ZhPWSfAKzeVQbRG08E1iI
Paint The Town Red,Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7
HVN ON EARTH (with Kodak Black),"Lil Tecca, Kodak Black",HVN ON EARTH,4367dXCt02KMgELPisJ2D4
First Day Out (Freestyle),Rundown Spaz,First Day Out (Freestyle),7idI4LLo9LVLqrvvzhSj3n
Long Story Short (with Lil Wayne),"2 Chainz, Lil Wayne",Long Story Short,2jmdxJ60YfV3fVemuLz7pD
Okay,"French Montana, Lil Baby, ATL Jacob",Okay,0VJXWgw0GWsprapvlpbuyu
Glizock & Wizop (feat. Key Glock),"Gucci Mane, Key Glock",Glizock & Wizop (feat. Key Glock),0zbGWzQkLY5wn4xyiLYEi0
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,42VsgItocQwOQC3XWZ8JNA
Now or Neva (feat. Moneybagg Yo & YTB Fatt),"Mike WiLL Made-It, Moneybagg Yo, YTB Fatt",Now or Neva (feat. Moneybagg Yo & YTB Fatt),7rx8jrF9kvwIr2lQIMPZLG
Bent,"41, Kyle Richh, Jenn Carter, TaTa",Bent,6ulEymrJ2Azx1uo3YHSE5w
Climate (feat. Offset),"BigXthaPlug, Offset",THE BIGGEST,1c7MITQmNJTrvfbDSzWT6x
Presha (with Lil Wayne),"2 Chainz, Lil Wayne",Presha,6N7TGPYfGP2oxiy9Cpaz9G
Big Dog (with Lil Wayne),"Benny The Butcher, Lil Wayne",Big Dog,4EKfEZ89t2DzU41RbsyFC6
Thang For You (feat. NoCap),"Rylo Rodriguez, NoCap",Been One,39fKVWP7D9qAmkM8qjRQoC
fukumean,Gunna,a Gift & a Curse,4rXLjWdF2ZZpXCVTfWcshS
Turks & Caicos (feat. 21 Savage),"Rod Wave, 21 Savage",Nostalgia,3kfhS2L56Wj8fBcu7xE47H
PISTOL PACCIN,"NLE Choppa, BigXthaPlug",Cottonwood 2 (Deluxe 2.0),3ScMs95OaNlkrZuRe7gyYa
Bachelor,"Turbo, Gunna",Bachelor,35gu7pEQ2gOLUvskspCD3Y
Great Gatsby,Rod Wave,Nostalgia,4M68xjcc42oxyphhzpOWXS
BROAD DAY (feat. Future),"Offset, Future",SET IT OFF,6Qc90FMwNUjJ2M893RdYUg
Baller,NAV,Baller,7GkZ2cx7i74zu1piQy3i6T
Cobra,Megan Thee Stallion,Cobra,3Kh8X9lHztqVBTgw30HbXn
Turn Yo Clic Up (feat. Future),"Quavo, Future",Turn Yo Clic Up (feat. Future),7LTCmtMpf3JPfBE8gAl64z
WHAT'S THE MOVE? (feat. Future and BabyDrill),"The Kid LAROI, Future, BabyDrill",WHAT'S THE MOVE? (feat. Future and BabyDrill),0oqnZWNBvobs1t181f45Ck
Did Me Wrong,A Boogie Wit da Hoodie,B4 BOA,2hkcNrUwTVwKqjfUO1Kx3d
Lemme See,Kodak Black,When I Was Dead,53QRPT9Z42ALxGL1YGT9x1
Bow Bow Bow (F My Baby Dad),Sexyy Red,Hood Hottest Princess (Deluxe),351CSUM0YDA0GCbHCSKoL1
MELTDOWN (feat. Drake),"Travis Scott, Drake",UTOPIA,67nepsnrcZkowTxMWigSbb
Cold (feat. B.G. & Mike WiLL Made-It),"Gucci Mane, B.G., Mike WiLL Made-It",Cold (feat. B.G. & Mike WiLL Made-It),4PKh6tJP16etcy2eKyMODe
I'm The Type,"Lil Durk, chief wuk, Only The Family",Nightmares In the Trenches,24zmKlJp1LlIRpagSbMaRY
ISSA PARTY (feat. BabyDrill),"Latto, BabyDrill",ISSA PARTY (feat. BabyDrill),4hrd3G5XnJzDC5LZw0Fwgu
Fighting My Demons,Ken Carson,A Great Chaos,2c7sRekhMGlj7u1WIIzoQu
In Luv With The Money,"Rick Ross, Meek Mill, Future",Too Good To Be True,3dw4v5lOsKRqIX3c1bouJW
Better Than Ever (feat. Rod Wave),"YoungBoy Never Broke Again, Rod Wave",Decided 2,7KeM63RotkWiGnHKkboz4t
Needle (feat. Drake),"Nicki Minaj, Drake",Pink Friday 2,4I4G0LD277PWvfblYtSf91
Never Lose Me,Flo Milli,Never Lose Me,6uTPdRrEDeH8Fyg5L5qmeU
Agora Hills,Doja Cat,Scarlet,7dJYggqjKo71KI9sLzqCs8
Cobra,Megan Thee Stallion,Cobra,3Kh8X9lHztqVBTgw30HbXn
Deli,Ice Spice,Like..? (Deluxe),5JYPXqMwYc0zTODQdjMEZN
Looking For The Hoes (Ain’t My Fault),Sexyy Red,Hood Hottest Princess,4LadsagnXZM7SEOpHjHIHA
Barbie Dangerous,Nicki Minaj,Pink Friday 2,1fKT7RUtOf4xNEqctEFe5L
Ick,Lay Bankz,Now You See Me,7nn4MXs89QymmNzRreTywe
IT GIRL,Aliyah's Interlude,IT GIRL,4wQmwPWCUn6gi11Gep2qsP
Bongos (feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",Bongos (feat. Megan Thee Stallion),4YQImHflXSiIMXntcwPkx8
Grip,Baby Tate,Baby Tate Presents - Sexploration: The Musical,1tHYeRTwPlHkKV3uOY0uSm
Water,Tyla,Water,5aIVCx5tnk0ntmdiinnYvw
Put It On Da Floor Again (feat. Cardi B),"Latto, Cardi B",Put It On Da Floor Again (feat. Cardi B),6c6WmIHcHlhccEwSFBhzNa
Paint The Town Red,Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7
Bow Bow Bow (F My Baby Dad),Sexyy Red,Hood Hottest Princess (Deluxe),351CSUM0YDA0GCbHCSKoL1
MY HOUSE,Beyoncé,MY HOUSE,7omJfT9s6V2IpQNBYyq5C8
You Wish (with Missy Elliott & Kaliii) – Remix,"Flyana Boss, Missy Elliott, Kaliii",You Wish (with Missy Elliott & Kaliii) – Remix,1bUhj0j6akbGxinxsVe6PR
Point Me 2 (with Cardi B),"FendiDa Rappa, Cardi B",Point Me 2 (with Cardi B),69ZBK01gsgWUnA55BEaAPu
Area Codes,Kaliii,Area Codes,7sliFe6W30tPBPh6dvZsIH
On My Mama,Victoria Monét,On My Mama,1o8Z7GD1CeOaVBEyuzu4HO
Princess Diana (with Nicki Minaj),"Ice Spice, Nicki Minaj",Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV
Don't Get Me Started (feat. Coi Leray & Nija),"Lola Brooke, Coi Leray, Nija",Dennis Daughter,5AmuyYZBlIbC9PuFM9hmso
Snooze,SZA,Snooze,24yrJJkmVUMkJHvCaR85BN
We Outside,"Hitkidd, Aleza, K Carbon, Gloss Up, Slimeroni",Renegade,5ztdVnAcTsaIMGSmb3kqVv
Booty Drop,Doechii,Booty Drop,1iOdhNBdePXR632DhYZVO2
Sloppy Seconds (Ick Pt. 2),Lay Bankz,Sloppy Seconds (Ick Pt. 2),00WnaHagi3KLsrbs20OFVt
Demons,Doja Cat,Demons,1xemKSmCnH59ze3KX5wwgH
"Hey, Mickey!","Baby Tate, Saweetie","Hey, Mickey!",7r6uppLBApzJPMpDmdFoi4
Pink Friday Girls,Nicki Minaj,Pink Friday 2,44L2bY93uD65CEHWbozpx4
Lackin,"Raedio, Rico Nasty, NCognita, Simon Said.","RAP SH!T: The Mixtape (From the Max Original Series, S2)",6lasIWLndqFchulQMIH5Cm
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",AMERICA HAS A PROBLEM (feat. Kendrick Lamar),6l8mgVN9Xf1hiDIFGA6CTE
Not My N*gga - Extended,KenTheMan,Back To 304'n,63bY2syFfehnI3Po2TaXL7
"Keep Dat Nigga (Part 2) (feat. GloRilla, Kali & Big Boss Vette)","Icandy, GloRilla, Kaliii, Big Boss Vette","Keep Dat Nigga (Part 2) (feat. GloRilla, Kali & Big Boss Vette)",4pgeI9ohPGzSDeKE1D4dYf
BGC,Flo Milli,BGC,6j8rjIqqZkKnc0VzLjIN3J
Work For It,City Girls,RAW,7gwEKj4xXm9iRqxGhHxSI4
You (feat. Bryson Tiller),"Lola Brooke, Bryson Tiller",You (feat. Bryson Tiller),6TkH5GHcf1U8kfqTkMFsau
Say Too Much,"Kaliii, Young Nudy",FCK GIRL SZN,3ivlOgTCKS7zk1lXlZsebF
Pound Town 2 (feat. Nicki Minaj & Tay Keith),"Sexyy Red, Nicki Minaj, Tay Keith",Pound Town 2 (feat. Nicki Minaj & Tay Keith),6IEXjer2qbXhRLFv99NQQv
What It Is (Solo Version),Doechii,What It Is (Versions),73RbfOTJIjHzi2pcVHjeHM
In The Trunk (feat. GloRilla),"FendiDa Rappa, GloRilla",In The Trunk (feat. GloRilla),6srN4L7q0KzHeXFbi5K2pd
Na Na Na,Lay Bankz,Na Na Na,6G4ICKUrsPb117ULGyrQ5N
ISSA PARTY (feat. BabyDrill),"Latto, BabyDrill",ISSA PARTY (feat. BabyDrill),4hrd3G5XnJzDC5LZw0Fwgu
K Toven,"Kaliii, DJ Smallz 732",K Toven,0iCsRcu5mugWVlCMpD7wb1
Low,SZA,SOS,2GAhgAjOhEmItWLfgisyOn
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice, Aqua",Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO
Can’t Get ‘Em,"Kaliii, GloRilla",FCK GIRL SZN,2aG3cPs5o9QTvVDSs6h1Gw
SHOT O' CLOCK,Saweetie,SHOT O' CLOCK,1c99LA5Cf1agM5NMMAzVwc
Face Down,City Girls,Face Down,0DEjFljgDbPjkm5460EJnA
