Track Name,Artist Names,Album Name,Track ID
greedy,Tate McRae,greedy,3rUGC1vUpkDG9CZFHMur1t
Lovin On Me,Jack Harlow,Lovin On Me,4xhsWYTOGcal8zt0J161CU
Water,Tyla,Water,5aIVCx5tnk0ntmdiinnYvw
Snooze,SZA,SOS,4iZ4pt7kvcaH6Yo8UoZ4s2
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,3vkCueOmm7xQDoJ17W1Pm3
Strangers,Kenya Grace,Strangers,5mjYQaktjmjcMKcUIcqz4s
Standing Next to You,Jung Kook,GOLDEN,2KslE17cAJNHTsI2MI0jb2
Paint The Town Red,Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7
Houdini,Dua Lipa,Houdini,4OMJGnvZfDvsePyCwRGO7X
Cruel Summer,Taylor Swift,Lover,1BxfuPKGuaTgP7aM0Bbdwr
MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,4MjDJD8cW7iVeWInc2Bdyj
MY HOUSE,Beyoncé,MY HOUSE,7omJfT9s6V2IpQNBYyq5C8
vampire,Olivia Rodrigo,GUTS,1kuGVB7EU95pJObxwvfwKS
Calm Down (with Selena Gomez),"Rema, Selena Gomez",Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8
You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4
Needle (feat. Drake),"Nicki Minaj, Drake",Pink Friday 2,4I4G0LD277PWvfblYtSf91
Agora Hills,Doja Cat,Scarlet,7dJYggqjKo71KI9sLzqCs8
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG
exes,Tate McRae,exes,0HD8mbiPjp3o94X3EaZp0o
Feather,Sabrina Carpenter,emails i can’t send fwd:,2Zo1PcszsT9WQ0ANntJbID
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",Seven (feat. Latto),7x9aauaA9cu6tyfpHnqDLo
Stick Season,Noah Kahan,Stick Season,0mflMxspEfB0VbI1kyLiAv
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",Zach Bryan,4KULAymBBJcPRpk1yO4dOG
Si No Estás,iñigo quintero,Si No Estás,2HafqoJbgXdtjwCOvNEF14
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),17phhZDn6oGtzMe56NuWvj
Kill Bill,SZA,SOS,1Qrg8KqiBpW07V7PNxwwwL
Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",The Forever Story (Extended Version),1udwFobQ1JoOdWPQrp2b6u
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q
fukumean,Gunna,a Gift & a Curse,4rXLjWdF2ZZpXCVTfWcshS
Chemical,Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),1Iq8oo9XkmmvCQiGOfORiz
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),17cia5k4BpGVlyEfqrFH50
One Of Your Girls,Troye Sivan,Something To Give Each Other,5Eh1nj7IjV9lwpcKAkidyY
Lil Boo Thang,Paul Russell,Lil Boo Thang,0cVyQfDyRnMJ0V3rjjdlU3
First Person Shooter (feat. J. Cole),"Drake, J. Cole",For All The Dogs,7aqfrAY2p9BUSiupwk3svU
I KNOW ?,Travis Scott,UTOPIA,6wsqVwoiVH2kde4k4KKAFU
Daylight,David Kushner,Daylight,1odExI7RdWc4BT515LTAwj
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),7CyPwkp0oE8Ro9Dd5CUDjW
Super Shy,NewJeans,NewJeans 'Super Shy',5sdQOyqq2IDhvmx2lHOpwd
What It Is (Solo Version),Doechii,What It Is (Versions),73RbfOTJIjHzi2pcVHjeHM
Moonlight,Kali Uchis,Moonlight,2i2gDpKKWjvnRTOZRhaPh2
Prada,"cassö, RAYE, D-Block Europe",Prada,59NraMJsLaMCVtwXTSia8i
Cupid - Twin Ver.,FIFTY FIFTY,The Beginning,739WUU1tPFLO4x4HJq561K
LALA,Myke Towers,LA VIDA ES UNA,7ABLbnD53cQK00mhcaOUVG
