Track Name,Artist Names,Album Name,Track ID
nublues - fade,Joel Ross,nublues (fade),0OhiQIsXhYTZ6uVb8SBSVI
So Mi Stay,Nubiyan Twist,So Mi Stay,11u619J5WmRcm5ByntmjWQ
Soul Bossa Nova (feat. Sean Jones),"Grace Kelly, Sean Jones",Soul Bossa Nova (feat. Sean Jones),32u3Jjd93Hkv8WBCHZlGUe
Answer to Remember Theme,Answer to Remember,Answer to Remember Theme,3HNKknpEKoZKneTmJILiW7
Marking My Time - BADBADNOTGOOD Edit,"Elmiene, BADBADNOTGOOD",Marking My Time (BADBADNOTGOOD Edit),37d6wINGgXhG8r95A13M4i
Terrestre,Escalandrum,ESCALECTRIC,0kXyRmTQDrs2oK6uFFWagR
Dynamics,H ZETTRIO,Dynamics,7wi3S0J8v5uA12cXZI4xug
"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000,New Blue Sun,1lbjDy6IIerHFGZWKG0hno
Não Ao Marco Temporal,Esperanza Spalding,Não Ao Marco Temporal,242sgtNAjMw47sqowRPJ7s
Cobham,"Oli Howe, HOWES3",Six,6p46VYGOLxUbhPJB3pGxEt
Winter,"Myele Manzanza, Matthew Sheens, Matt Penman","Crisis & Opportunity, Vol.4 - Meditations",3HlO9LOzWYtazt0URqky8r
Dragonfly,Dana and Alden,Quiet Music for Young People,3uyAmrmQS6GDm0XllcMGMK
The Comeback,J-Rod Sullivan,The Comeback,0MOCXlySxIos7wMFITLore
Lounge Lizard,Molly Lewis,Lounge Lizard,39mehRLHX9wvfrooKeiWxa
A Flower is a Lovesome Thing,"Kurt Rosenwinkel, Geri Allen",A Lovesome Thing,1pZ9MJT3kKWTe9WDvfbgdN
Alien Love Call,"Turnstile, BADBADNOTGOOD, Blood Orange",New Heart Designs,5D7AFGloFpXtdT2PiKTEC3
Encantados,"Amaro Freitas, Hamid Drake, Shabaka Hutchings, Aniel Someillan",Encantados,4yTafI7wbjy1VtThovqmXF
jazz is for ordinary people,berlioz,jazz is for ordinary people,12BaQt9aYdTlEtKreqB5V4
