Track Name,Artist Names,Album Name,Track ID
HONEY (ARE U COMING?),Måneskin,RUSH! (ARE U COMING?),7GJRZmyEpMIou1RqG0ebd8
ONE MORE TIME,blink-182,ONE MORE TIME...,1ja4311zfLHqUL96poSXfP
Your Side of Town,The Killers,Rebel Diamonds,57HSsA71FQvgFeTX12bWcp
The American Dream Is Killing Me,Green Day,The American Dream Is Killing Me,48SmjoT74xf4Zi07EHRt1s
Normal People Things,Lovejoy,Normal People Things,1vJmd8YIIAz6XQ9GHlUr5p
Under You,Foo Fighters,But Here We Are,6vWu5uWlox5TVDPl3LvoG3
Nothing Matters,The Last Dinner Party,Nothing Matters,3p84R45PM75ngq8XRoe45o
Angry,The Rolling Stones,Hackney Diamonds,5op6kdhlMQ4L0KH30GCZ5T
Hold Me Like a Grudge,Fall Out Boy,So Much (For) Stardust,7LJETXmpThAx6IvUzczYNR
Blame Brett,The Beaches,Blame Brett,7Az7rVogNu6XpLnykVI5fA
Modern Girl,Bleachers,Modern Girl,4TPgBDOEVwywalXHFUUUQY
The Matrix,Mother Mother,The Matrix,0bpmBKuehVqxXeYtdeTqEG
Overcome,Nothing But Thieves,Dead Club City,2YmJZWGcy0yONMCsEKOuVD
ALL CAPS (feat. John the Ghost),"Weathers, John the Ghost",ALL CAPS (feat. John the Ghost),2N9j5SNc6cQMYpUeyXYlBV
Hollywood Baby,100 gecs,"10,000 gecs",0oigSejhoNen2EdNAIFcm5
Shadow (I'm Breaking Down),Destroy Boys,Shadow (I'm Breaking Down),35k8QihhSU5Z7Rqz7FD2nv
Running In Circles,Dead Poet Society,Running In Circles / HURT,3EjHI10QuKMoVBxcgpHrf3
Pull Me Through,Royal Blood,Back To The Water Below,4EmnzJLkWYI9JyYTWtnOVT
Dancer,"IDLES, LCD Soundsystem",Dancer,2F7dO7OCqrxff66epaNPEU
Atomic City,U2,Atomic City,0Zp4PR3jLHfxcXdBdRLh7M
Paper Machete,Queens of the Stone Age,In Times New Roman...,4zx4H3Q0ASymmPgbfUmeRo
Already Over,Mike Shinoda,Already Over,4Akq61SpQYUE8IuE7hHNH8
DArkSide,Bring Me The Horizon,DArkSide,19vHgVS1aukRiQWhTqfKnE
Make It Out Alive,ONE OK ROCK,Make It Out Alive,4WVJeRP6hjMMBkmWsV4TtF
Seeing Red,Architects,Seeing Red,5EauhH7IW4eDo0SPnP6rIY
THE DEATH OF PEACE OF MIND,Bad Omens,THE DEATH OF PEACE OF MIND,6tRneEcItwpSxBtqgem5Dr
Too Close / Too Late,Spiritbox,The Fear of Fear,4hvCxgioUiT85MCgfIhDP3
Invisible Hand,✝✝✝ (Crosses),"Goodnight, God Bless, I Love U, Delete.",4r5bMIasNl5uYBnzf9TYXU
Happier (feat. Oli Sykes of Bring Me The Horizon),"YUNGBLUD, Oli Sykes, Bring Me The Horizon",Happier (feat. Oli Sykes of Bring Me The Horizon),0UNDrAptMY5glGrcdr93Kx
Landmines,Sum 41,Landmines,1O7hVfI7ETQvQmPC0EqfY7
Fake As Hell (with Avril Lavigne),"All Time Low, Avril Lavigne",Fake As Hell (with Avril Lavigne),7bbhu051CI6krV0M6lv7tl
Everything I Do Is For You,Amira Elfeky,Everything I Do Is For You,1BO9znQb8BbJ5W8KPAqgWE
Stuck,Thirty Seconds To Mars,It’s The End Of The World But It’s A Beautiful Day,483ngpflrHCLnkBSXsSnsb
Running Out Of Time,Paramore,This Is Why,5NRtdsFFlmyE8qDMgS08PE
thoughts i have while lying in bed,"The Maine, Beach Weather",thoughts i have while lying in bed (with Beach Weather),7t01uN0kyKMEK8Ow9hhEXa
Too Good At Raising Hell,The Struts,Too Good At Raising Hell,7oob8M60wM76SlqThEwoTC
Young In America,Barns Courtney,Young In America,0Ef2EJ0YndF0GZMQHsrOvt
What Now,Brittany Howard,What Now,1g8becOwXRFEkYukY94L99
The Narcissist,Blur,The Ballad of Darren,2TNyNqT3RBXhtNV7OiAgiC
The Falling Sky,Greta Van Fleet,The Falling Sky,22MaTYGutS36j4KOXfqvQn
By The Time You're Reading This,YONAKA,Welcome To My House,0uuxAXS1X7kH0WjC0nD6q9
Dead To Me,Palaye Royale,Dead To Me,5BxC04q61icn0SHinQCBeR
ballad of a homeschooled girl,Olivia Rodrigo,GUTS,5sp71CUt0jXRNqHblPGp7b
MARRY KILL F*CK//,"KennyHoopla, Travis Barker",BLINK AND YOU'LL MISS IT//,71MVjTIeOQzPkEmfgL3uNc
We Need More Bricks,Neck Deep,We Need More Bricks,5F3HNBitIp7FkxhBl8SNgW
Caffeine,Jack Kays,Caffeine,1pJk9Ai1GNT0HPWdRpgbBx
6 Pack and Cigarettes,ALEXSUCKS,The Gutter,1byxxkw33SsLEYNRKdmaOQ
I Got Heaven,Mannequin Pussy,I Got Heaven,3CsJjIyl2Y6jz08DUuMMz8
Can't Take It Slow,Citizen,Calling the Dogs,6jOZiOe9s7TtTqvSMmuWTj
Salt,"Teen Jesus and the Jean Teasers, The Grogans",Salt,7bMm4GSR0O90ZrrqsKf74G
Rescued,Foo Fighters,But Here We Are,3nDstVXtr6xbCZKs5Ka2rZ
Running Out Of Time,Paramore,This Is Why,5NRtdsFFlmyE8qDMgS08PE
ONE MORE TIME,blink-182,ONE MORE TIME...,1ja4311zfLHqUL96poSXfP
LosT,Bring Me The Horizon,LosT,5BgnL6gHauuvxe4Ok6W1aC
Hollywood Baby,100 gecs,"10,000 gecs",0oigSejhoNen2EdNAIFcm5
Lost,Linkin Park,Meteora 20th Anniversary Edition,3RQHAFkEHiFHQ7qmMpKRdv
BABY SAID,Måneskin,RUSH!,5xsNR0fpFr7Z6HwnSJo6Om
Overcome,Nothing But Thieves,Dead Club City,2YmJZWGcy0yONMCsEKOuVD
Nothing Matters,The Last Dinner Party,Nothing Matters,3p84R45PM75ngq8XRoe45o
Now And Then,The Beatles,Now And Then,4vziJcnB2Qyi9o4nIRUeN7
Angry,The Rolling Stones,Angry,0daHbdrLvUmkh81rnolMcG
God Is a Circle,Yves Tumor,"Praise A Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)",596pY5JqwSgSqM8cA4A0rg
Love From The Other Side,Fall Out Boy,So Much (For) Stardust,2W0ML0bVXNew4Jmc40Rpzj
Blame Brett,The Beaches,Blame My Ex,6twjuBZfRJIZnoHrghzWLk
Call Me What You Like,Lovejoy,Wake Up & It's Over,2QF8FbGBTXTzm0CRUWqndE
Paper Machete,Queens of the Stone Age,In Times New Roman...,4zx4H3Q0ASymmPgbfUmeRo
The Narcissist,Blur,The Ballad of Darren,2TNyNqT3RBXhtNV7OiAgiC
Ghosts Again,Depeche Mode,Memento Mori,3p5JD79PQP737dyEY2hnmf
Bogus Operandi,The Hives,The Death Of Randy Fitzsimmons,74vF2AJsJr4Bz5gJivquDS
Lose You (feat. Soccer Mommy),"Bully, Soccer Mommy",Lucky For You,1ugQO8HhKXJ2kXaKJ6bznA
Strung Out Johnny,Iggy Pop,EVERY LOSER,6OGIBcJV5qV1FF5uiofnX0
By The Time You're Reading This,YONAKA,Welcome To My House,0uuxAXS1X7kH0WjC0nD6q9
Mountains At Midnight,Royal Blood,Back To The Water Below,63V2LU9M9pLkimultjujl5
If You’re Gonna Break My Heart,Inhaler,Cuts & Bruises,2UdLLIJygjz2yiOa3GVMV0
Dancer,"IDLES, LCD Soundsystem",Dancer,2F7dO7OCqrxff66epaNPEU
Atomic City,U2,Atomic City,0Zp4PR3jLHfxcXdBdRLh7M
Not Strong Enough,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",the record,09DR0sHnQUhHOiSNttc1mv
Francesca,Hozier,Unreal Unearth,6QnfsyzifAJJrNHYTO6j9J
Another Celebration at the End of the World,Mammoth WVH,Mammoth II,1oxh5M17Q5rCGnMvIgxfCa
Meeting The Master,Greta Van Fleet,Starcatcher,6jXwOrrBoutMICNxckeDNQ
Psycho,Asking Alexandria,Where Do We Go From Here?,2oeD1y0HnIBhHW5pPtyE0w
The Void,Spiritbox,The Fear of Fear,5BD1siRxfJPetcpIo5lvil
Emergency Contact,Pierce The Veil,The Jaws Of Life,4amltxLIfFmtYEvZbdgDqO
Invisible Hand,✝✝✝ (Crosses),"Goodnight, God Bless, I Love U, Delete.",4r5bMIasNl5uYBnzf9TYXU
Young In America,Barns Courtney,Young In America,0Ef2EJ0YndF0GZMQHsrOvt
Modern Girl,Bleachers,Modern Girl,4TPgBDOEVwywalXHFUUUQY
Summer of Luv (feat. Unknown Mortal Orchestra),"Portugal. The Man, Unknown Mortal Orchestra",Chris Black Changed My Life,2PKbC4uFUY1tcBABpGZ8GQ
Getting into Trouble w/ the Boss,White Reaper,Asking For A Ride,21WdnLnH0XhCkjD8WmQGx1
I Got Heaven,Mannequin Pussy,I Got Heaven,3CsJjIyl2Y6jz08DUuMMz8
Lead Pipe,Movements,RUCKUS!,791XlnGCxlmyPS6BKdNzbp
In My Head,"Mike Shinoda, Kailee Morgue",In My Head,3ryXl6OFAr9fzUpIjAnHIY
Lowlife,YUNGBLUD,Lowlife,2kDApipZtTzjwGfKujcg2z
Giving Up,The Used,Toxic Positivity,5XYoKiujAKGiHwnU2G0P7C
Fake As Hell (with Avril Lavigne),"All Time Low, Avril Lavigne",Fake As Hell (with Avril Lavigne),7bbhu051CI6krV0M6lv7tl
ballad of a homeschooled girl,Olivia Rodrigo,GUTS,5sp71CUt0jXRNqHblPGp7b
YOU NEEDED A HIT//,KennyHoopla,YOU NEEDED A HIT//,5DbBHcdkzRe1HnA132Dp0z
Shadow (I'm Breaking Down),Destroy Boys,Shadow (I'm Breaking Down),35k8QihhSU5Z7Rqz7FD2nv
